GHO,YEAR,COUNTRY,GROUP,SEX_CODE,SEX,NUMERIC,GroupCode,,
Tx,2012,India,34,MLE,Male,3641682,30_34,,
Tx,2000,India,49,MLE,Male,2103504,45_49,,
Tx,2000,India,64,MLE,Male,986728,60_64,,
Tx,2012,India,64,MLE,Male,1126302,60_64,,
Tx,2000,India,110,MLE,Male,810,100+,,
Tx,2000,India,14,BTSX,Both sexes,5246766,10_14,,
Tx,2012,India,14,BTSX,Both sexes,5664980,10_14,,
Tx,2012,India,24,BTSX,Both sexes,4731306,20_24,,
Tx,1990,India,29,BTSX,Both sexes,3620069,25_29,,
Tx,2000,India,39,BTSX,Both sexes,3051019,35_39,,
Tx,1990,India,44,BTSX,Both sexes,2401558,40_44,,
Tx,1990,India,54,BTSX,Both sexes,1635711,50_54,,
Tx,2012,India,54,BTSX,Both sexes,2055721,50_54,,
Tx,1990,India,69,BTSX,Both sexes,654938,65_69,,
Tx,2000,India,69,BTSX,Both sexes,764122,65_69,,
Tx,2000,India,84,BTSX,Both sexes,142420,80_84,,
Tx,1990,India,99,BTSX,Both sexes,3509,95_99,,
Tx,2000,India,99,BTSX,Both sexes,5324,95_99,,
ex,2012,India,1,MLE,Male,64,<1,,
ex,1990,India,4,MLE,Male,62,1_4,,
ex,2000,India,4,MLE,Male,64,1_4,,
ex,1990,India,19,MLE,Male,51,15_19,,
ex,2000,India,19,MLE,Male,52,15_19,,
ex,2000,India,44,MLE,Male,30,40_44,,
ex,2000,India,59,MLE,Male,18,55_59,,
ex,2012,India,59,MLE,Male,19,55_59,,
ex,2012,India,69,MLE,Male,13,65_69,,
ex,1990,India,74,MLE,Male,9,70_74,,
ex,2000,India,84,MLE,Male,6,80_84,,
ex,2000,India,89,MLE,Male,5,85_89,,
ex,2000,India,99,MLE,Male,3,95_99,,
ex,2012,India,99,MLE,Male,4,95_99,,
ex,1990,India,110,MLE,Male,3,100+,,
ex,1990,India,19,BTSX,Both sexes,52,15_19,,
ex,1990,India,24,BTSX,Both sexes,48,20_24,,
ex,2012,India,29,BTSX,Both sexes,46,25_29,,
ex,1990,India,49,BTSX,Both sexes,26,45_49,,
ex,2000,India,49,BTSX,Both sexes,27,45_49,,
ex,1990,India,64,BTSX,Both sexes,15,60_64,,
ex,1990,India,74,BTSX,Both sexes,10,70_74,,
ex,2000,India,79,BTSX,Both sexes,8,75_79,,
ex,1990,India,89,BTSX,Both sexes,5,85_89,,
ex,2012,India,89,BTSX,Both sexes,6,85_89,,
ex,1990,India,94,BTSX,Both sexes,4,90_94,,
nMx,1990,India,24,FMLE,Female,0.004,20_24,,
nMx,2012,India,34,FMLE,Female,0.002,30_34,,
nMx,2000,India,39,FMLE,Female,0.003,35_39,,
nMx,1990,India,49,FMLE,Female,0.007,45_49,,
nMx,2000,India,64,FMLE,Female,0.023,60_64,,
nMx,2012,India,64,FMLE,Female,0.019,60_64,,
nMx,1990,India,69,FMLE,Female,0.042,65_69,,
nMx,2000,India,89,FMLE,Female,0.163,85_89,,
nMx,1990,India,94,FMLE,Female,0.232,90_94,,
nMx,2000,India,110,FMLE,Female,0.368,100+,,
nqx,2000,India,4,FMLE,Female,0.032,1_4,,
nqx,2000,India,34,FMLE,Female,0.014,30_34,,
nqx,1990,India,39,FMLE,Female,0.019,35_39,,
